 table_catalog | table_schema |   table_name   |         column_name          | ordinal_position | column_default | is_nullable | data_type | character_maximum_length | character_octet_length | numeric_precision | numeric_precision_radix | numeric_scale | datetime_precision | interval_type | interval_precision | character_set_catalog | character_set_schema | character_set_name | collation_catalog | collation_schema | collation_name | domain_catalog | domain_schema | domain_name | udt_catalog | udt_schema | udt_name | scope_catalog | scope_schema | scope_name | maximum_cardinality | dtd_identifier | is_self_referencing | is_identity | identity_generation | identity_start | identity_increment | identity_maximum | identity_minimum | identity_cycle | is_generated | generation_expression | is_updatable 
 ihw_data      | public       | nor_facilities | hw_generator_class           |               18 |                | YES         | text      |                          |             1073741824 |                   |                         |               |                    |               |                    |                       |                      |                    |                   |                  |                |                |               |             | ihw_data    | pg_catalog | text     |               |              |            |                     | 18             | NO                  | NO          |                     |                |                    |                  |                  | NO             | NEVER        |                       | YES
 ihw_data      | public       | nor_facilities | site_class_rev_dist          |               19 |                | YES         | boolean   |                          |                        |                   |                         |               |                    |               |                    |                       |                      |                    |                   |                  |                |                |               |             | ihw_data    | pg_catalog | bool     |               |              |            |                     | 19             | NO                  | NO          |                     |                |                    |                  |                  | NO             | NEVER        |                       | YES
 ihw_data      | public       | nor_facilities | aws_reqd_flg                 |               20 |                | YES         | boolean   |                          |                        |                   |                         |               |                    |               |                    |                       |                      |                    |                   |                  |                |                |               |             | ihw_data    | pg_catalog | bool     |               |              |            |                     | 20             | NO                  | NO          |                     |                |                    |                  |                  | NO             | NEVER        |                       | YES
 ihw_data      | public       | nor_facilities | site_class_receiver          |               21 |                | YES         | boolean   |                          |                        |                   |                         |               |                    |               |                    |                       |                      |                    |                   |                  |                |                |               |             | ihw_data    | pg_catalog | bool     |               |              |            |                     | 21             | NO                  | NO          |                     |                |                    |                  |                  | NO             | NEVER        |                       | YES
 ihw_data      | public       | nor_facilities | mwrs_reqd_flg                |               22 |                | YES         | boolean   |                          |                        |                   |                         |               |                    |               |                    |                       |                      |                    |                   |                  |                |                |               |             | ihw_data    | pg_catalog | bool     |               |              |            |                     | 22             | NO                  | NO          |                     |                |                    |                  |                  | NO             | NEVER        |                       | YES
 ihw_data      | public       | nor_facilities | site_class_transporter       |               23 |                | YES         | boolean   |                          |                        |                   |                         |               |                    |               |                    |                       |                      |                    |                   |                  |                |                |               |             | ihw_data    | pg_catalog | bool     |               |              |            |                     | 23             | NO                  | NO          |                     |                |                    |                  |                  | NO             | NEVER        |                       | YES
 ihw_data      | public       | nor_facilities | transport_for_hire           |               24 |                | YES         | boolean   |                          |                        |                   |                         |               |                    |               |                    |                       |                      |                    |                   |                  |                |                |               |             | ihw_data    | pg_catalog | bool     |               |              |            |                     | 24             | NO                  | NO          |                     |                |                    |                  |                  | NO             | NEVER        |                       | YES
 ihw_data      | public       | nor_facilities | transport_owned_waste        |               25 |                | YES         | boolean   |                          |                        |                   |                         |               |                    |               |                    |                       |                      |                    |                   |                  |                |                |               |             | ihw_data    | pg_catalog | bool     |               |              |            |                     | 25             | NO                  | NO          |                     |                |                    |                  |                  | NO             | NEVER        |                       | YES
 ihw_data      | public       | nor_facilities | site_class_transfer          |               26 |                | YES         | boolean   |                          |                        |                   |                         |               |                    |               |                    |                       |                      |                    |                   |                  |                |                |               |             | ihw_data    | pg_catalog | bool     |               |              |            |                     | 26             | NO                  | NO          |                     |                |                    |                  |                  | NO             | NEVER        |                       | YES
 ihw_data      | public       | nor_facilities | reg_healthcare_prov          |               27 |                | YES         | boolean   |                          |                        |                   |                         |               |                    |               |                    |                       |                      |                    |                   |                  |                |                |               |             | ihw_data    | pg_catalog | bool     |               |              |            |                     | 27             | NO                  | NO          |                     |                |                    |                  |                  | NO             | NEVER        |                       | YES
 ihw_data      | public       | nor_facilities | site_class_recycler          |               28 |                | YES         | boolean   |                          |                        |                   |                         |               |                    |               |                    |                       |                      |                    |                   |                  |                |                |               |             | ihw_data    | pg_catalog | bool     |               |              |            |                     | 28             | NO                  | NO          |                     |                |                    |                  |                  | NO             | NEVER        |                       | YES
 ihw_data      | public       | nor_facilities | land_typ_cd                  |               29 |                | YES         | text      |                          |             1073741824 |                   |                         |               |                    |               |                    |                       |                      |                    |                   |                  |                |                |               |             | ihw_data    | pg_catalog | text     |               |              |            |                     | 29             | NO                  | NO          |                     |                |                    |                  |                  | NO             | NEVER        |                       | YES
 ihw_data      | public       | nor_facilities | genr_typ_cd                  |               30 |                | YES         | text      |                          |             1073741824 |                   |                         |               |                    |               |                    |                       |                      |                    |                   |                  |                |                |               |             | ihw_data    | pg_catalog | text     |               |              |            |                     | 30             | NO                  | NO          |                     |                |                    |                  |                  | NO             | NEVER        |                       | YES
 ihw_data      | public       | nor_facilities | epa_id_num                   |               31 |                | YES         | text      |                          |             1073741824 |                   |                         |               |                    |               |                    |                       |                      |                    |                   |                  |                |                |               |             | ihw_data    | pg_catalog | text     |               |              |            |                     | 31             | NO                  | NO          |                     |                |                    |                  |                  | NO             | NEVER        |                       | YES
 ihw_data      | public       | nor_facilities | primary_naics_code           |               32 |                | YES         | text      |                          |             1073741824 |                   |                         |               |                    |               |                    |                       |                      |                    |                   |                  |                |                |               |             | ihw_data    | pg_catalog | text     |               |              |            |                     | 32             | NO                  | NO          |                     |                |                    |                  |                  | NO             | NEVER        |                       | YES
 ihw_data      | public       | nor_facilities | transport_hw                 |               33 |                | YES         | text      |                          |             1073741824 |                   |                         |               |                    |               |                    |                       |                      |                    |                   |                  |                |                |               |             | ihw_data    | pg_catalog | text     |               |              |            |                     | 33             | NO                  | NO          |                     |                |                    |                  |                  | NO             | NEVER        |                       | YES
 ihw_data      | public       | nor_facilities | transport_ind_class1         |               34 |                | YES         | text      |                          |             1073741824 |                   |                         |               |                    |               |                    |                       |                      |                    |                   |                  |                |                |               |             | ihw_data    | pg_catalog | text     |               |              |            |                     | 34             | NO                  | NO          |                     |                |                    |                  |                  | NO             | NEVER        |                       | YES
 ihw_data      | public       | nor_facilities | rcra_permit_num              |               35 |                | YES         | text      |                          |             1073741824 |                   |                         |               |                    |               |                    |                       |                      |                    |                   |                  |                |                |               |             | ihw_data    | pg_catalog | text     |               |              |            |                     | 35             | NO                  | NO          |                     |                |                    |                  |                  | NO             | NEVER        |                       | YES
 ihw_data      | public       | nor_facilities | hw_permit_status             |               36 |                | YES         | text      |                          |             1073741824 |                   |                         |               |                    |               |                    |                       |                      |                    |                   |                  |                |                |               |             | ihw_data    | pg_catalog | text     |               |              |            |                     | 36             | NO                  | NO          |                     |                |                    |                  |                  | NO             | NEVER        |                       | YES
 ihw_data      | public       | nor_facilities | iw_pmt_num_txt               |               37 |                | YES         | text      |                          |             1073741824 |                   |                         |               |                    |               |                    |                       |                      |                    |                   |                  |                |                |               |             | ihw_data    | pg_catalog | text     |               |              |            |                     | 37             | NO                  | NO          |                     |                |                    |                  |                  | NO             | NEVER        |                       | YES
 ihw_data      | public       | nor_facilities | rcvr_fac_cat_cd              |               38 |                | YES         | text      |                          |             1073741824 |                   |                         |               |                    |               |                    |                       |                      |                    |                   |                  |                |                |               |             | ihw_data    | pg_catalog | text     |               |              |            |                     | 38             | NO                  | NO          |                     |                |                    |                  |                  | NO             | NEVER        |                       | YES
 ihw_data      | public       | nor_facilities | mw_pmt_num_txt               |               39 |                | YES         | text      |                          |             1073741824 |                   |                         |               |                    |               |                    |                       |                      |                    |                   |                  |                |                |               |             | ihw_data    | pg_catalog | text     |               |              |            |                     | 39             | NO                  | NO          |                     |                |                    |                  |                  | NO             | NEVER        |                       | YES
 ihw_data      | public       | nor_facilities | lat_dec_coord_num            |               40 |                | YES         | text      |                          |             1073741824 |                   |                         |               |                    |               |                    |                       |                      |                    |                   |                  |                |                |               |             | ihw_data    | pg_catalog | text     |               |              |            |                     | 40             | NO                  | NO          |                     |                |                    |                  |                  | NO             | NEVER        |                       | YES
 ihw_data      | public       | nor_facilities | long_dec_coord_num           |               41 |                | YES         | text      |                          |             1073741824 |                   |                         |               |                    |               |                    |                       |                      |                    |                   |                  |                |                |               |             | ihw_data    | pg_catalog | text     |               |              |            |                     | 41             | NO                  | NO          |                     |                |                    |                  |                  | NO             | NEVER        |                       | YES
 ihw_data      | public       | nor_facilities | healthcare_fac_optin_date    |               42 |                | YES         | text      |                          |             1073741824 |                   |                         |               |                    |               |                    |                       |                      |                    |                   |                  |                |                |               |             | ihw_data    | pg_catalog | text     |               |              |            |                     | 42             | NO                  | NO          |                     |                |                    |                  |                  | NO             | NEVER        |                       | YES
 ihw_data      | public       | nor_facilities | rev_dist_begin_date          |               43 |                | YES         | text      |                          |             1073741824 |                   |                         |               |                    |               |                    |                       |                      |                    |                   |                  |                |                |               |             | ihw_data    | pg_catalog | text     |               |              |            |                     | 43             | NO                  | NO          |                     |                |                    |                  |                  | NO             | NEVER        |                       | YES
 ihw_data      | public       | nor_facilities | rev_dist_end_date            |               44 |                | YES         | text      |                          |             1073741824 |                   |                         |               |                    |               |                    |                       |                      |                    |                   |                  |                |                |               |             | ihw_data    | pg_catalog | text     |               |              |            |                     | 44             | NO                  | NO          |                     |                |                    |                  |                  | NO             | NEVER        |                       | YES
 ihw_data      | public       | nor_facilities | healthcare_fac_withdraw_date |               45 |                | YES         | text      |                          |             1073741824 |                   |                         |               |                    |               |                    |                       |                      |                    |                   |                  |                |                |               |             | ihw_data    | pg_catalog | text     |               |              |            |                     | 45             | NO                  | NO          |                     |                |                    |                  |                  | NO             | NEVER        |                       | YES
(45 rows)

